Sex,Age,Fare,Pclass1,Pclass2,Pclass3,Embarked1,Embarked2,Embarked3,Master,Miss,Mr,Mrs,Officer,Royalty,Large_Family,Single,Small_Family,Survived
1,-0.6858756728121342,-0.5072680307757323,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
0,1.1882651184051065,-0.3632757344732868,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
0,-0.06116207573972066,-0.1410057468923307,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1
1,-0.33881256332746,-0.3922674719838463,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
1,-0.4776378071213297,-0.3527266075844446,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
0,-0.7552882947090691,-0.13553017406783635,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1
1,0.49413889943575806,0.38277831079844427,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
1,-0.9635261603998736,-0.4653904323329795,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
1,-0.4082251852243949,0.8872345434821796,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
0,-0.1305746976366555,-0.3488610425830367,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0
0,-0.5470504290182645,-0.49373855327080457,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1
0,-0.4082251852243949,-0.3371831707137833,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1
1,-0.7552882947090691,-0.5130663782778443,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
1,-0.8247009166060039,-0.4212592094944058,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
1,-0.7552882947090691,0.0667683719333457,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
1,-0.19998731953359034,-0.49285333888548216,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1
0,-1.4494145136784173,0.0208647875416265,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
1,0.4594325884872906,-0.1410057468923307,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
1,0.8412020089204323,-0.3922674719838463,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
1,1.4659156059928458,-0.4014481888621902,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
0,-0.5470504290182645,0.6437039483934796,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1
1,1.7782724045290526,-0.4879402057686927,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
1,0.73708307607503,-0.3632757344732868,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
1,-0.1305746976366555,-0.5021944767113844,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
1,1.4659156059928458,0.542797239596727,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
0,-0.9635261603998736,-0.49406132794842217,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1
1,0.008250546157214175,-0.4879402057686927,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
1,-0.1305746976366555,-0.47610191295188087,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
1,-0.1305746976366555,0.7007210321642466,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
1,0.9800272527143019,-0.33235121446202337,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
0,0.7023767651265626,-0.3391159532144873,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1
1,-0.2693999414305252,-0.4932553576456286,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
1,-0.8941135385029387,-0.47610191295188087,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
1,-2.004715488853896,0.12354385789152472,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
1,-1.4494145136784173,-0.24682558880587288,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1
0,-0.1305746976366555,0.4195011783118196,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1
0,1.0494398746112368,-0.10428287937895536,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0
1,-0.1305746976366555,-0.14245533376785866,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
1,-0.1305746976366555,0.4484117389573496,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
1,2.160041824962194,0.003952940660466794,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
1,-1.7964776231630917,-0.08060629374533174,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0
0,-2.004715488853896,-0.42834672292448733,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1
1,-0.6164630509151994,-0.49035618389457264,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
1,1.81297871547752,-0.05024614622427386,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
1,-0.8247009166060039,-0.49172459390507106,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
1,-0.1305746976366555,-0.15131327596858496,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
0,1.396502984095911,-0.08857902156073563,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
1,0.008250546157214175,-0.3922674719838463,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
1,0.4247262775388232,-0.6435291970753619,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
0,-0.1305746976366555,0.7007210321642466,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
1,-0.1305746976366555,-0.352645430719415,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
1,-1.4494145136784173,-0.03687708966690451,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
1,-2.004715488853896,0.11025597819918495,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1
0,-1.7964776231630917,-0.21783385129531338,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1
1,-0.1305746976366555,0.32286205327662126,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
0,-0.1305746976366555,-0.3439479094662472,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1
1,1.0494398746112368,-0.13037544313845886,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1
1,0.7023767651265626,-0.3439479094662472,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
1,0.4247262775388232,-0.49092055638477816,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
0,0.14707578995108386,-0.3922674719838463,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1
1,-0.7552882947090691,-0.3922674719838463,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
0,-0.7552882947090691,-0.49172459390507106,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1
1,-1.8658902450600265,-0.1410057468923307,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1
0,0.9800272527143019,-0.10774642562021683,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1
0,1.9518039592713896,2.1883991852160958,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
1,-0.1305746976366555,-0.49373855327080457,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
1,0.8412020089204323,-0.48109429015119926,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
0,-0.1305746976366555,-0.49373855327080457,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1
0,-0.4082251852243949,-0.3922674719838463,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1,-0.1305746976366555,-0.45991485950848515,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
1,-0.1305746976366555,0.7007210321642466,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
1,0.2859010337449535,-0.5179795113946337,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
1,1.084146185559704,-0.5038856613995004,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
1,-0.8247009166060039,-0.4879402057686927,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1
0,-1.9353028669569614,-0.44131182793920953,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
1,0.14707578995108386,-0.3371831707137833,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
1,-0.2693999414305252,-0.28040768475560424,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1
0,-0.9635261603998736,-0.49373855327080457,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1
1,0.7023767651265626,-0.04436662185713237,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
1,-0.4082251852243949,-0.5072680307757323,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
0,0.3553136556418884,-0.237644871927529,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1
1,-0.5470504290182645,-0.5034024657743245,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
1,0.008250546157214175,-0.3922674719838463,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
1,-0.1305746976366555,-0.49373855327080457,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
0,0.07766316805414901,1.5458301805970562,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
0,-0.19998731953359034,-0.49035618389457264,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1
1,0.8412020089204323,-0.12167792188529103,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
0,0.14707578995108386,0.8310234300142062,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
1,0.008250546157214175,-0.4405870345014455,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
1,-0.9635261603998736,-0.4879402057686927,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1
1,-0.19998731953359034,-0.3922674719838463,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
1,1.4659156059928458,-0.4879402057686927,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
1,-0.1305746976366555,-0.49092055638477816,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
1,0.5635515213326929,1.0959750535582078,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1
1,-0.5470504290182645,-0.46281403325954107,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
1,-0.7552882947090691,-0.4405870345014455,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1
1,-0.6511693618636668,-0.5034024657743245,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
1,-0.8247009166060039,-0.3922674719838463,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
0,-0.1305746976366555,-0.15131327596858496,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
0,0.3553136556418884,0.969860995387274,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1
1,-0.06116207573972066,-0.4932553576456286,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
1,2.0212165811683245,-0.3826035594803265,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
0,-1.7270650012661568,-0.03687708966690451,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1
1,-0.4082251852243949,-0.4405870345014455,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
0,-0.1305746976366555,-0.4976041182722125,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
1,0.9800272527143019,-0.1410057468923307,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
0,-1.5188271355753522,-0.13617379064057078,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1
1,-0.7552882947090691,-0.4405870345014455,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
1,0.2164884118480187,-0.4062801451139501,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
0,-0.1305746976366555,-0.3641609488586093,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0
0,-0.1305746976366555,-0.3439479094662472,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1
1,-0.06116207573972066,-0.4405870345014455,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
1,-0.5470504290182645,-0.5058184439002044,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
1,0.008250546157214175,-0.5038856613995004,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
1,0.9800272527143019,1.0959750535582078,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
0,-0.33881256332746,-0.4932553576456286,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
0,-0.4082251852243949,-0.3632757344732868,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1
1,0.49413889943575806,0.372229183909602,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1
1,1.6741534716836504,-0.1410057468923307,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
1,-0.1305746976366555,-0.5034024657743245,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
0,-0.06116207573972066,-0.44131182793920953,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
1,2.229454446859129,-0.13037544313845886,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
1,0.008250546157214175,-0.33235121446202337,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
0,0.7717893870234974,-0.2528655341205728,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
0,-0.06116207573972066,-0.3488610425830367,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1
0,-0.1305746976366555,0.8872345434821796,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1
0,0.008250546157214175,1.028327666033569,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1
0,0.3553136556418884,9.258679926521264,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
